"ID","Literature_ID","Nodes_ID","Edges_ID","Pertains_To","Pages"
"996","38","948",NULL,,"87"
"998","66","952",NULL,,"77f."
"1000","70","18",NULL,,"286-288"
"1004","164","257",NULL,,"p. 8"
"1006","164","150",NULL,,"5"
"1008","166","237",NULL,,"30"
"1010","164","277",NULL,,"p. 9"
"1012","164","329",NULL,,"p. 10"
"1014","164","349",NULL,,"11"
"1016","164","485",NULL,,"13"
"1020","164","496",NULL,,"13"
"1022","38","1175",NULL,,"p. 108"
"1024","38","1177",NULL,,"108"
"1026","168","8921",NULL,"tolls","19, 26"
"1028","170","8928",NULL,"tolls",
"1030","172","1429",NULL,,
"1036","174","5901",NULL,"tolls",
"1038","176","8935",NULL,,"117"
"1044","176","3175",NULL,,"121"
"1046","176","8931",NULL,,"122"
"1050","176","8936",NULL,,"123"
"1054","176","4958",NULL,,"125-126"
"1056","176","8937",NULL,,"125"
"1058","176","8938",NULL,,"127"
"1060","176","8939",NULL,,"114-117"
"1062","178","8939",NULL,,"214-223, 257-266"
"1064","178","8938",NULL,,"346-349"
"1066","178","8940",NULL,,"342-345"
"1068","180","8938",NULL,,"206"
"1070","60","973",NULL,,"51-67"
"1072","164","763",NULL,,"20"
"1074","164","834",NULL,,"22"
"1076","164","887",NULL,,"23"
"1078","182","1002",NULL,,"61"
"1080","182","1894",NULL,,"91"
"1082","182","2379",NULL,,"99"
"1084","182","464",NULL,,"51-52"
"1086","182","5253",NULL,,"161"
"1088","182","6921",NULL,,"192"
"1090","182","7535",NULL,,"209-210"
"1092","164","908",NULL,,"23"
"1094","124","8045",NULL,"tolls","47"
"1096","74","974",NULL,,"86"
"1098","38","975",NULL,,"91"
"1100","66","976",NULL,,"78f."
"1102","66","977",NULL,,"79f."
"1104","38","1190",NULL,,"p. 109"
"1106","38","303",NULL,,"p. 38"
"1108","38","999",NULL,,"93"
"1110","38","989",NULL,,"92"
"1112","38","993",NULL,,"92"
"1114","38","994",NULL,,"92"
"1116","38","1017",NULL,,"94"
"1118","38","1018",NULL,,"94"
"1120","66","1026",NULL,,"85"
"1122","182","420",NULL,,"48"
"1124","182","3672",NULL,,"132-133"
"1126","74","1039",NULL,,"93"
"1128","4","7881",NULL,,"390"
"1130","182","1695",NULL,,"84-85"
"1132","118","1043",NULL,,"43-44"
"1134","182","5053",NULL,,"158"
"1136","182","7865",NULL,,"214-215"
"1138","72","1047",NULL,,"68"
"1140","72","1048",NULL,,"68-69"
"1142","182","2551",NULL,,"182"
"1144","38","7881",NULL,,"629"
"1146","182","440",NULL,,"49"
"1148","182","3960",NULL,,"69"
"1150","182","3357",NULL,,"80"
"1152","182","1429",NULL,,"73-76"
"1154","182","4350",NULL,,"144"
"1156","182","4352",NULL,,"144"
"1158","182","1140",NULL,,"66-67"
"1160","182","2915",NULL,,"112"
"1162","38","1069",NULL,,"99"
"1164","182","6627",NULL,,"184"
"1166","182","7965",NULL,,"217"
"1168","48","1079",NULL,,"100"
"1170","38","1082",NULL,,"99"
"1172","38","717",NULL,,"73"
"1174","4","717",NULL,"tolls","192"
"1178","96","2766",NULL,,"100"
"1180","96","4041",NULL,,"136-137"
"1182","96","2752",NULL,,"111-112"
"1184","184","2778",NULL,,"57-64, 83-94, 172-179"
"1186","38","7268",NULL,,"586-586"
"1188","186","7268",NULL,,
"1190","38","1951",NULL,,"262"
"1192","188","288",NULL,,"57, 63"
"1194","190","1082",NULL,,"41-43"
"1196","192","8937",NULL,,"29"
"1198","192","4958",NULL,"fairs","42-44"
"1200","192","4958",NULL,,"7-39"
"1202","194","4958",NULL,"staple",
"1204","196","8900",NULL,"tolls","44"
"1206","196","3026",NULL,"tolls","44"
"1212","198","8885",NULL,"tolls",
"1214","196","8885",NULL,"tolls",
"1216","198","3026",NULL,"tolls",
"1218","4","17",NULL,,"306-307"
"1220","154","17",NULL,,"38"
"1222","154","8931",NULL,,"38"
"1226","154","8447",NULL,"tolls","38"
"1228","154","2067",NULL,"tolls","38"
"1232","38","4958",NULL,"tolls","406"
"1234","60","4958",NULL,"tolls","251"
"1236","154","35",NULL,,"45"
"1238","70","35",NULL,,"104-105"
